,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22270,D021601135,-23.49307,-46.57045,AV MANUEL ANTONIO GONCALVES,nan,2016-02-21 09:24:00,2,Sem Informacao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22271,D021601136,-23.631510000000002,-46.6442,AV PEDRO SEVERINO,nan,2016-02-16 08:30:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22272,D021601137,-23.63355,-46.77582,RUA DR JOVIANO PACHECO DE AGUIRRE,nan,2016-02-28 02:40:00,2,Queda moto/bicicleta,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22273,D021601138,-23.63796,-46.700140000000005,RUA MAL DEODORO,nan,2016-02-01 02:16:00,2,Choque,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22274,D021601139,-23.47411,-46.653729999999996,RUA FRANKLIN DO AMARAL,nan,2016-02-12 08:49:00,2,Colisao,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22275,D021601140,-23.71105,-46.628840000000004,AV ALDA,nan,2016-02-16 22:02:00,2,Colisao,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22276,D021601141,-23.59359,-46.49374,RUA JOAO GOMES PEREIRA,nan,2016-02-22 13:02:00,2,Colisao,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22277,D021601142,-23.847820000000002,-46.696709999999996,RUA NSRA APARECIDA,nan,2016-02-24 15:00:00,4,Atropelamento,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22278,D021601143,-23.50668,-46.69173,AV OTAVIANO ALVES DE LIMA,nan,2016-02-01 11:21:00,2,Colisao,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
22279,D021601144,-23.55569,-46.63705,VIADUTO JACEGUAI,nan,2016-02-12 08:15:00,2,Colisao,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22280,D021601145,-23.496660000000002,-46.74525,RUA JOAQUIM OLIVEIRA FREITAS,nan,2016-02-17 18:00:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
